9.162000000000000000e+08 1.665953440000000000e+08
9.295000320000000000e+08 2.359277120000000000e+08
9.428999680000000000e+08 1.216068480000000000e+08
9.563000320000000000e+08 5.392378880000000000e+08
9.696999680000000000e+08 1.025731328000000000e+09
9.830000000000000000e+08 1.126409344000000000e+09
9.964000000000000000e+08 1.343876864000000000e+09
1.009800000000000000e+09 1.220996736000000000e+09
1.023200000000000000e+09 1.365670912000000000e+09
1.036499968000000000e+09 1.328369920000000000e+09
1.049900032000000000e+09 1.649255168000000000e+09
1.063299968000000000e+09 1.490358016000000000e+09
1.076700032000000000e+09 1.357983616000000000e+09
1.090000000000000000e+09 1.403789312000000000e+09
1.103399936000000000e+09 1.582226688000000000e+09
1.116800000000000000e+09 1.546148224000000000e+09
1.130200064000000000e+09 1.357597952000000000e+09
1.143500032000000000e+09 1.187343488000000000e+09
1.156899968000000000e+09 1.179823616000000000e+09
1.170300032000000000e+09 1.084592512000000000e+09
1.183699968000000000e+09 9.937446400000000000e+08
1.196999936000000000e+09 9.896576000000000000e+08
1.210400000000000000e+09 8.686296960000000000e+08
1.223800064000000000e+09 1.095947904000000000e+09
1.237200000000000000e+09 1.058283008000000000e+09
1.250499968000000000e+09 1.163146240000000000e+09
1.263900032000000000e+09 9.820625920000000000e+08
1.277299968000000000e+09 3.837550720000000000e+08
1.290700032000000000e+09 9.334197760000000000e+08
1.304000000000000000e+09 1.232563456000000000e+09
1.317400064000000000e+09 1.199623168000000000e+09
1.330800000000000000e+09 1.131169024000000000e+09
1.344199936000000000e+09 1.072694272000000000e+09
1.357500032000000000e+09 1.173195008000000000e+09
1.370899968000000000e+09 1.220083072000000000e+09
1.384300032000000000e+09 1.090207872000000000e+09
1.397699968000000000e+09 1.036518208000000000e+09
1.411000064000000000e+09 1.129222272000000000e+09
1.424400000000000000e+09 8.894193280000000000e+08
1.437799936000000000e+09 9.951841920000000000e+08
1.451200000000000000e+09 9.641442560000000000e+08
1.464499968000000000e+09 1.171863424000000000e+09
1.477900032000000000e+09 1.065812608000000000e+09
1.491299968000000000e+09 1.003886080000000000e+09
1.504700032000000000e+09 9.680559360000000000e+08
1.518000000000000000e+09 9.257996800000000000e+08
1.531399936000000000e+09 6.203470720000000000e+08
1.544800000000000000e+09 4.885153600000000000e+08
1.558200064000000000e+09 7.214737920000000000e+08
1.571500032000000000e+09 6.877722240000000000e+08
1.584899968000000000e+09 6.922490880000000000e+08
1.598300032000000000e+09 7.293047040000000000e+08
1.611699968000000000e+09 7.450584960000000000e+08
1.624999936000000000e+09 6.341640320000000000e+08
1.638400000000000000e+09 6.406347520000000000e+08
1.651800064000000000e+09 6.082231680000000000e+08
