9.638000000000000000e+08 7.585823500000000000e+06
9.655000320000000000e+08 7.310914500000000000e+06
9.672000000000000000e+08 8.684451000000000000e+06
9.688000000000000000e+08 8.216132500000000000e+06
9.722000000000000000e+08 7.340992000000000000e+06
9.739000320000000000e+08 7.163546500000000000e+06
9.755000320000000000e+08 9.750840000000000000e+06
9.772000000000000000e+08 6.989265000000000000e+06
9.788999680000000000e+08 7.987632000000000000e+06
9.804999680000000000e+08 1.068140400000000000e+07
9.822000000000000000e+08 7.320529000000000000e+06
9.839000320000000000e+08 9.796204000000000000e+06
9.856000000000000000e+08 9.656376000000000000e+06
9.872000000000000000e+08 7.796634000000000000e+06
9.888999680000000000e+08 8.329033000000000000e+06
9.906000000000000000e+08 8.685050000000000000e+06
9.922000000000000000e+08 9.187955000000000000e+06
9.939000320000000000e+08 8.792728000000000000e+06
9.956000000000000000e+08 8.788775000000000000e+06
9.972999680000000000e+08 9.559845000000000000e+06
9.988999680000000000e+08 9.999841000000000000e+06
1.000600000000000000e+09 8.835696000000000000e+06
1.002300032000000000e+09 9.225964000000000000e+06
1.003900032000000000e+09 8.404135000000000000e+06
1.005600000000000000e+09 7.663177500000000000e+06
1.007299968000000000e+09 7.779821000000000000e+06
1.009000000000000000e+09 6.829454500000000000e+06
1.010600000000000000e+09 6.989231000000000000e+06
1.014000000000000000e+09 1.032293400000000000e+07
1.017299968000000000e+09 9.544250000000000000e+06
1.019000000000000000e+09 8.765589000000000000e+06
1.020700032000000000e+09 9.183423000000000000e+06
1.022300032000000000e+09 7.848508500000000000e+06
1.025699968000000000e+09 9.897900000000000000e+06
1.027400000000000000e+09 8.195135500000000000e+06
1.034000000000000000e+09 8.763167000000000000e+06
1.035699968000000000e+09 8.559473000000000000e+06
1.037400000000000000e+09 8.281877500000000000e+06
1.039100032000000000e+09 8.251941500000000000e+06
1.040700032000000000e+09 8.867016000000000000e+06
1.042400000000000000e+09 9.721622000000000000e+06
1.044099968000000000e+09 7.711288500000000000e+06
1.045699968000000000e+09 9.579661000000000000e+06
1.047400000000000000e+09 8.943048000000000000e+06
1.049100032000000000e+09 8.732953000000000000e+06
1.050800000000000000e+09 1.012432500000000000e+07
1.052400000000000000e+09 9.116016000000000000e+06
1.054099968000000000e+09 9.112602000000000000e+06
1.055800000000000000e+09 9.109205000000000000e+06
1.057400000000000000e+09 9.861128000000000000e+06
1.059100032000000000e+09 9.387354000000000000e+06
1.060800000000000000e+09 1.017488300000000000e+07
1.062499968000000000e+09 9.348219000000000000e+06
1.064099968000000000e+09 9.574344000000000000e+06
1.065800000000000000e+09 1.020061500000000000e+07
