-2.499815185546875000e+03 1.033103035297244787e-05 1.137836170528316870e-05
-2.498418701171875000e+03 1.077136857929872349e-05 8.752897883823607117e-06
-2.497021972656250000e+03 1.061838702298700809e-05 6.374457825586432591e-06
-2.495625488281250000e+03 9.990615581045858562e-06 4.367766905488679186e-06
-2.494229003906250000e+03 9.031781701196450740e-06 2.815672587530571036e-06
-2.492832519531250000e+03 7.896369424997828901e-06 1.758020857778319623e-06
-2.491435791015625000e+03 6.737554485880536959e-06 1.190772650261351373e-06
-2.490039306640625000e+03 5.698329914594069123e-06 1.068444476004515309e-06
-2.488642822265625000e+03 4.895811798633076251e-06 1.311933260694786441e-06
-2.487246337890625000e+03 4.420144250616431236e-06 1.812385789889958687e-06
-2.485849609375000000e+03 4.323916073190048337e-06 2.444841356918914244e-06
-2.484453125000000000e+03 4.621615516953170300e-06 3.077879455304355361e-06
-2.483056640625000000e+03 5.289759428706020117e-06 3.581147666409378871e-06
-2.481660156250000000e+03 6.269884124776581302e-06 3.842145815724506974e-06
-2.480263427734375000e+03 7.474032827303744853e-06 3.765937663047225215e-06
-2.478866943359375000e+03 8.791762411419767886e-06 3.290375161668634973e-06
-2.477470458984375000e+03 1.010015603242209181e-05 2.384889739914797246e-06
-2.476073974609375000e+03 1.127247469412395731e-05 1.054214180840062909e-06
-2.474677246093750000e+03 1.218810575664974749e-05 -6.615014171984512359e-07
-2.473280761718750000e+03 1.274012174690142274e-05 -2.691751205929904245e-06
-2.471884277343750000e+03 1.284519839828135446e-05 -4.938666734233265743e-06
-2.470487792968750000e+03 1.244757368112914264e-05 -7.286345862667076290e-06
-2.469091064453125000e+03 1.152305685536703095e-05 -9.608146683603990823e-06
-2.467694580078125000e+03 1.008138860925100744e-05 -1.177291414933279157e-05
-2.466298095703125000e+03 8.164283826772589236e-06 -1.365777279715985060e-05
-2.464901611328125000e+03 5.842608516104519367e-06 -1.515343137725722045e-05
-2.463504882812500000e+03 3.212796400475781411e-06 -1.617094676475971937e-05
-2.462108398437500000e+03 3.898883846886747051e-07 -1.664781302679330111e-05
-2.460711914062500000e+03 -2.501220023987116292e-06 -1.655122287047561258e-05
-2.459315429687500000e+03 -5.330877684173174202e-06 -1.587906081113032997e-05
-2.457918701171875000e+03 -7.974354048201348633e-06 -1.465970399294747040e-05
-2.456522216796875000e+03 -1.031798910844372585e-05 -1.294944831897737458e-05
-2.455125732421875000e+03 -1.226511540153296664e-05 -1.082908147509442642e-05
-2.453729248046875000e+03 -1.374224393657641485e-05 -8.397399142268113792e-06
-2.452332519531250000e+03 -1.470202732889447361e-05 -5.764704383182106540e-06
-2.450936035156250000e+03 -1.512267863290617242e-05 -3.049942961297347210e-06
-2.449539550781250000e+03 -1.501119277236284688e-05 -3.684057503505755449e-07
-2.448143066406250000e+03 -1.439960033167153597e-05 2.171518190152710304e-06
-2.446746337890625000e+03 -1.334222724835854024e-05 4.473116405279142782e-06
-2.445349853515625000e+03 -1.191235060105100274e-05 6.458381903939880431e-06
-2.443953369140625000e+03 -1.019566389004467055e-05 8.068027455010451376e-06
-2.442556884765625000e+03 -8.285964213428087533e-06 9.267604582419153303e-06
-2.441160156250000000e+03 -6.277999091253150254e-06 1.004449131869478151e-05
-2.439763671875000000e+03 -4.265022198524093255e-06 1.040662300511030480e-05
-2.438367187500000000e+03 -2.329970129721914418e-06 1.038411392073612660e-05
-2.436970703125000000e+03 -5.440218160401855130e-07 1.002098815661156550e-05
-2.435573974609375000e+03 1.036934236253728159e-06 9.375472473038826138e-06
-2.434177490234375000e+03 2.373990582782425918e-06 8.512724889442324638e-06
-2.432781005859375000e+03 3.447047447480144911e-06 7.501169875467894599e-06
-2.431384521484375000e+03 4.252322924003237858e-06 6.408123681467259303e-06
-2.429987792968750000e+03 4.802375315193785354e-06 5.294924903864739463e-06
-2.428591308593750000e+03 5.123040864418726414e-06 4.214537511870730668e-06
-2.427194824218750000e+03 5.249314199318177998e-06 3.208140469723730348e-06
-2.425798339843750000e+03 5.222768777457531542e-06 2.303571363881928846e-06
-2.424401611328125000e+03 5.086856162961339578e-06 1.515001031293650158e-06
-2.423005126953125000e+03 4.883675956079969183e-06 8.441342629339487758e-07
-2.421608642578125000e+03 4.649902166420361027e-06 2.803562040298857028e-07
-2.420212158203125000e+03 4.414319846546277404e-06 -1.954049508867683471e-07
-2.418815429687500000e+03 4.195811015961226076e-06 -6.088794179959222674e-07
-2.417418945312500000e+03 4.002269633929245174e-06 -9.880357083602575585e-07
-2.416022460937500000e+03 3.830701189144747332e-06 -1.359811335532867815e-06
-2.414625976562500000e+03 3.667891860459349118e-06 -1.747776536831224803e-06
-2.413229248046875000e+03 3.492907580948667601e-06 -2.167286538679036312e-06
-2.411832763671875000e+03 3.279432348790578544e-06 -2.624652097438229248e-06
-2.410436279296875000e+03 2.999147682203329168e-06 -3.115529580099973828e-06
-2.409039794921875000e+03 2.625321940286085010e-06 -3.624538749136263505e-06
-2.407643066406250000e+03 2.136728653567843139e-06 -4.125905888940906152e-06
-2.406246582031250000e+03 1.520299292678828351e-06 -4.585499027598416433e-06
-2.404850097656250000e+03 7.740104592812713236e-07 -4.963828359905164689e-06
-2.403453613281250000e+03 -9.096212494341671118e-08 -5.219249487709021196e-06
-2.402056884765625000e+03 -1.050803575708414428e-06 -5.312313533067936078e-06
-2.400660400390625000e+03 -2.067948798867291771e-06 -5.209486062085488811e-06
-2.399263916015625000e+03 -3.094781050094752572e-06 -4.887921932095196098e-06
-2.397867431640625000e+03 -4.075612650922266766e-06 -4.337617610872257501e-06
-2.396470703125000000e+03 -4.951146820530993864e-06 -3.564491862562135793e-06
-2.395074218750000000e+03 -5.662327112077036873e-06 -2.592320697658578865e-06
-2.393677734375000000e+03 -6.156741164886625484e-06 -1.460608700654120184e-06
-2.392281250000000000e+03 -6.392598606907995418e-06 -2.249015125244113733e-07
-2.390884521484375000e+03 -6.343578206724487245e-06 1.048129206537851132e-06
-2.389488037109375000e+03 -6.002162990625947714e-06 2.283765525135095231e-06
-2.388091552734375000e+03 -5.381982646213145927e-06 3.405391453270567581e-06
-2.386695068359375000e+03 -4.518074547377182171e-06 4.340945451986044645e-06
-2.385298583984375000e+03 -3.465601821517338976e-06 5.028652140026679263e-06
-2.383901855468750000e+03 -2.297358378200442530e-06 5.422910362540278584e-06
-2.382505371093750000e+03 -1.098478605854324996e-06 5.499401595443487167e-06
-2.381108886718750000e+03 4.019698351953593374e-08 5.258792498352704570e-06
-2.379712402343750000e+03 1.028243332257261500e-06 4.728138264908920974e-06
-2.378315673828125000e+03 1.784698042683885433e-06 3.960354206355987117e-06
-2.376919189453125000e+03 2.244190909550525248e-06 3.032733729924075305e-06
-2.375522705078125000e+03 2.365248747082659975e-06 2.040358822341659106e-06
-2.374126220703125000e+03 2.134698661393485963e-06 1.090415366888919380e-06
-2.372729492187500000e+03 1.571345251250022557e-06 2.935068721399147762e-07
-2.371333007812500000e+03 7.264707733156683389e-07 -2.453194269946834538e-07
-2.369936523437500000e+03 -3.157015555643738480e-07 -4.363086247849423671e-07
-2.368540039062500000e+03 -1.446935357307665981e-06 -2.145050217450261698e-07
-2.367143310546875000e+03 -2.536263536967453547e-06 4.532396076228906168e-07
-2.365746826171875000e+03 -3.443805780989350751e-06 1.562012926115130540e-06
-2.364350341796875000e+03 -4.029569936392363161e-06 3.065809096369775943e-06
-2.362953857421875000e+03 -4.165376140008447692e-06 4.877830633631674573e-06
-2.361557128906250000e+03 -3.746435595530783758e-06 6.874236532894428819e-06
-2.360160644531250000e+03 -2.702357960515655577e-06 8.897640327631961554e-06
-2.358764160156250000e+03 -1.005786430141597521e-06 1.077122487913584337e-05
-2.357367675781250000e+03 1.321944068877201062e-06 1.230762973136734217e-05
-2.355970947265625000e+03 4.207101028441684321e-06 1.332385818386683241e-05
-2.354574462890625000e+03 7.524411557824350893e-06 1.365326625091256574e-05
-2.353177978515625000e+03 1.110418634198140353e-05 1.316263205808354542e-05
-2.351781494140625000e+03 1.473776046623243019e-05 1.176343357656151056e-05
-2.350384765625000000e+03 1.819304452510550618e-05 9.419618436368182302e-06
-2.348988281250000000e+03 2.122501427948009223e-05 6.159534677863121033e-06
-2.347591796875000000e+03 2.359708923904690892e-05 2.072296865662792698e-06
-2.346195312500000000e+03 2.509170917619485408e-05 -2.691569761736900546e-06
-2.344798583984375000e+03 2.553442027419805527e-05 -7.924094461486674845e-06
-2.343402099609375000e+03 2.479961949575226754e-05 -1.337258436251431704e-05
-2.342005615234375000e+03 2.282727473357226700e-05 -1.875612542789895087e-05
-2.340609130859375000e+03 1.962990609172265977e-05 -2.377758755756076425e-05
-2.339212402343750000e+03 1.529018300061579794e-05 -2.814648723870050162e-05
-2.337815917968750000e+03 9.965423487301450223e-06 -3.159517291351221502e-05
-2.336419433593750000e+03 3.876923528878251091e-06 -3.389800258446484804e-05
-2.335022949218750000e+03 -2.703914105950389057e-06 -3.488725633360445499e-05
-2.333626220703125000e+03 -9.470442819292657077e-06 -3.446382834226824343e-05
-2.332229736328125000e+03 -1.609179707884322852e-05 -3.260584344388917089e-05
-2.330833251953125000e+03 -2.224521631433162838e-05 -2.937110730272252113e-05
-2.329436767578125000e+03 -2.762859367066994309e-05 -2.489326470822561532e-05
-2.328040039062500000e+03 -3.197859768988564610e-05 -1.937642264238093048e-05
-2.326643554687500000e+03 -3.508950612740591168e-05 -1.308105856878682971e-05
-2.325247070312500000e+03 -3.682457827380858362e-05 -6.308491720119491220e-06
-2.323850585937500000e+03 -3.712395482580177486e-05 6.190899171087949071e-07
-2.322453857421875000e+03 -3.600617492338642478e-05 7.380383522104239091e-06
-2.321057373046875000e+03 -3.356649904162622988e-05 1.366464312013704330e-05
-2.319660888671875000e+03 -2.996779221575707197e-05 1.920440809044521302e-05
-2.318264404296875000e+03 -2.542808942962437868e-05 2.378233330091461539e-05
-2.316867675781250000e+03 -2.020678584813140333e-05 2.724170008150395006e-05
-2.315471191406250000e+03 -1.458607766835484654e-05 2.949753798020537943e-05
-2.314074707031250000e+03 -8.848830475471913815e-06 3.053640830330550671e-05
-2.312678222656250000e+03 -3.266834028181619942e-06 3.041159288841299713e-05
-2.311281494140625000e+03 1.922313231261796318e-06 2.923707688751164824e-05
-2.309885009765625000e+03 6.523376214317977428e-06 2.717620918701868504e-05
-2.308488525390625000e+03 1.039375092659611255e-05 2.442509139655157924e-05
-2.307092041015625000e+03 1.345097371086012572e-05 2.119765485986135900e-05
-2.305695312500000000e+03 1.567104845889844000e-05 1.770830385794397444e-05
-2.304298828125000000e+03 1.708054151094984263e-05 1.416042232449399307e-05
-2.302902343750000000e+03 1.775477721821516752e-05 1.072800296242348850e-05
-2.301505859375000000e+03 1.780582533683627844e-05 7.548308985860785469e-06
-2.300109130859375000e+03 1.736160629661753774e-05 4.718098352896049619e-06
-2.298712646484375000e+03 1.656370659475214779e-05 2.287789811816764995e-06
-2.297316162109375000e+03 1.554572736495174468e-05 2.669603702543099644e-07
-2.295919677734375000e+03 1.442527263861848041e-05 -1.371927282889373600e-06
-2.294522949218750000e+03 1.329556380369467661e-05 -2.686279458430362865e-06
