Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
Aql X-1,NS,1.68000e+28,0.00000e+00,0.00000e+00,1.07000e+36,2.00000e+34,2.00000e+34,Lr,"Gusinskaia et al. 2020, MNRAS, 492, 2858"
Aql X-1,NS,2.63000e+28,6.57500e+27,6.57500e+27,8.00000e+35,6.00000e+34,6.00000e+34,None,"Gusinskaia et al. 2020, MNRAS, 492, 2858"
Aql X-1,NS,6.24000e+28,0.00000e+00,0.00000e+00,1.44200e+37,2.50000e+35,2.50000e+35,Lr,"Gusinskaia et al. 2020, MNRAS, 492, 2858"
Aql X-1,NS,1.80000e+27,4.50000e+26,4.50000e+26,3.10000e+35,4.00000e+34,4.00000e+34,None,"Gusinskaia et al. 2020, MNRAS, 492, 2858"
Aql X-1,NS,1.30000e+27,3.25000e+26,3.25000e+26,1.40000e+35,2.00000e+34,2.00000e+34,None,"Gusinskaia et al. 2020, MNRAS, 492, 2858"
Aql X-1,NS,7.00000e+26,1.75000e+26,1.75000e+26,6.00000e+34,2.00000e+34,2.00000e+34,None,"Gusinskaia et al. 2020, MNRAS, 492, 2858"
4U 1728-34,NS,7.946844e+28,0.0,0.0,8.083335e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,8.217944e+28,0.0,0.0,6.479112e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,6.60797e+28,0.0,0.0,3.665851e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,4.344723e+28,0.0,0.0,5.437442e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,2.00857e+28,0.0,0.0,2.20478e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,2.112223e+28,0.0,0.0,2.424388e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,1.194196e+28,0.0,0.0,2.133731e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,1.460449e+28,0.0,0.0,2.134674e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,1.910004e+28,0.0,0.0,1.329364e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,7.592786e+27,0.0,0.0,1.553859e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,1.061906e+28,0.0,0.0,1.286335e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,1.194196e+28,0.0,0.0,2.067331e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
GS 1826-24,NS,9.52709e+27,5.53379e+26,5.53379e+26,5.98248e+36,5.98248e+35,5.98248e+35,None,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
4U 1734-44,NS,1.29670e+28,0.0,0.0,5.10036e+37,1.72894e+36,1.72894e+36,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
2S 0918-549,NS,1.91439e+27,0.0,0.0,5.74318e+35,1.91439e+34,1.91439e+34,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
4U 1246-588,NS,2.32294e+27,0.0,0.0,8.40681e+35,2.21232e+34,2.21232e+34,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17062-6143,NS,9.56418e+27,0.0,0.0,4.01696e+35,3.18806e+34,3.18806e+34,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
1RXH J173523.7-354013,NS,1.40379e+27,0.0,0.0,3.99540e+34,4.31935e+33,4.31935e+33,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
AX J1754.2-2754,NS,2.02543e+27,0.0,0.0,2.63306e+34,3.03814e+33,3.03814e+33,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,1.65021e+29,2.68015e+27,2.68015e+27,1.60809e+36,7.65757e+34,7.65757e+34,None,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,3.33104e+28,4.21166e+27,4.21166e+27,6.50893e+35,5.36030e+34,5.36030e+34,None,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,5.36030e+27,0.0,0.0,2.29727e+34,7.65757e+33,7.65757e+33,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,5.36030e+27,0.0,0.0,2.98645e+35,2.29727e+34,2.29727e+34,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,8.04045e+27,0.0,0.0,2.29727e+34,7.65757e+33,7.65757e+33,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,8.42333e+27,0.0,0.0,6.73866e+33,3.36933e+33,3.36933e+33,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
IGR J17379-3747,NS,9.18908e+27,0.0,0.0,1.68467e+34,8.42333e+33,8.42333e+33,Lr,"van den Eijnden et al. 2021, MNRAS, 507, 3899"
XB 1850-087,NS,4.93913e+27,0.00000e+00,0.00000e+00,1.22521e+36,7.65757e+34,7.65757e+34,Lr,"Panurach et al. 2021, ApJ, 923, 88"
4U 1746-37,NS,1.47167e+28,0.00000e+00,0.00000e+00,1.84765e+37,4.29685e+36,4.29685e+36,Lr,"Panurach et al. 2021, ApJ, 923, 88"
XB 1832-330,NS,3.94843e+27,0.00000e+00,0.00000e+00,2.27334e+35,1.19650e+34,1.19650e+34,Lr,"Panurach et al. 2021, ApJ, 923, 88"
GRS 1747-312,NS,6.24391e+28,1.49502e+27,1.49502e+27,3.10730e+34,2.34513e+34,2.34513e+34,None,"Panurach et al. 2021, ApJ, 923, 88"
GRS 1747-312,NS,3.78152e+27,0.00000e+00,0.00000e+00,4.69026e+34,2.81416e+34,2.81416e+34,Lr,"Panurach et al. 2021, ApJ, 923, 88"
GRS 1747-312,NS,7.88550e+27,1.26051e+27,1.26051e+27,5.27654e+33,3.51770e+33,3.51770e+33,None,"Panurach et al. 2021, ApJ, 923, 88"
M15 X-3,NS,1.02184e+28,0.00000e+00,0.00000e+00,4.44277e+33,1.77711e+33,1.77711e+33,Lr,"Panurach et al. 2021, ApJ, 923, 88"
