Start Date (UTC),End Date (UTC),Start Time (UTC),End Time (UTC),Midpoint (MJD),On-source Time (min),Telescope,Frequency (GHz),Integrated flux (mJy),Error (mJy),PI Name,Project ID
2024-01-07,2024-01-07,7:50:39,8:05:34,60316.332,15,MeerKAT,1.28,24.39,0.02,Fender,X-KAT/ThunderKAT
2024-01-09,2024-01-09,4:52:27,5:07:24,60318.2083,15,MeerKAT,2.62,17.98,0.01,Fender,X-KAT/ThunderKAT
2024-01-14,2024-01-14,4:47:07,5:02:11,60323.2046,15,MeerKAT,1.28,17.72,0.02,Fender,X-KAT/ThunderKAT
2024-01-21,2024-01-21,6:26:35,6:41:33,60330.2737,15,MeerKAT,3.06,5.04,0.02,Fender,X-KAT/ThunderKAT
2024-01-22,2024-01-22,5:31:24,5:46:20,60331.2353,15,MeerKAT,1.28,7.38,0.03,Fender,X-KAT/ThunderKAT
2024-01-24,2024-01-25,19:05:30,2:36:59,60333.9523,451,ATCA,9,1.52,0.05,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-01-24,2024-01-25,19:05:30,2:36:59,60333.9523,451,ATCA,5.5,2.32,0.05,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-01-29,2024-01-29,4:57:50,5:12:46,60338.212,15,MeerKAT,1.28,6.3,0.03,Fender,X-KAT/ThunderKAT
2024-02-01,2024-02-02,18:49:40,0:56:40,60341.9119,367,ATCA,5.5,2.03,0.02,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-02-01,2024-02-02,18:49:40,0:56:40,60341.9119,367,ATCA,9,1.2,0.02,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-02-04,2024-02-04,5:26:19,5:41:15,60344.2318,15,MeerKAT,1.28,5.25,0.03,Fender,X-KAT/ThunderKAT
2024-02-10,2024-02-10,3:38:41,3:53:37,60350.1571,15,MeerKAT,1.28,4.65,0.03,Fender,X-KAT/ThunderKAT
2024-02-13,2024-02-14,22:38:10,2:51:30,60354.0311,253,ATCA,5.5,1.16,0.08,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-02-13,2024-02-14,22:38:10,2:51:30,60354.0311,253,ATCA,9,0.68,0.08,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-02-19,2024-02-19,4:21:53,4:36:48,60359.187,15,MeerKAT,1.28,3.69,0.03,Fender,X-KAT/ThunderKAT
2024-02-21,2024-02-22,4:00:00,10:57:00,60361.8115,588,e-MERLIN,1.51,0.26,0.04,Williams-Baldwin/Carotenuto,CY16208
2024-02-25,2024-02-25,3:22:38,3:37:34,60365.1459,15,MeerKAT,1.28,3.33,0.03,Fender,X-KAT/ThunderKAT
2024-03-04,2024-03-04,3:14:45,3:29:40,60373.1404,15,MeerKAT,1.28,2.41,0.03,Fender,X-KAT/ThunderKAT
2024-03-09,2024-03-09,4:01:54,4:16:50,60378.1732,15,MeerKAT,1.28,1.92,0.02,Fender,X-KAT/ThunderKAT
2024-03-16,2024-03-16,2:36:28,2:51:23,60385.1138,15,MeerKAT,1.28,1.5,0.03,Fender,X-KAT/ThunderKAT
2024-03-17,2024-03-18,22:01:20,1:07:50,60386.9823,187,ATCA,5.5,0.19,0.03,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-17,2024-03-18,22:01:20,1:07:50,60386.9823,187,ATCA,9,0.1,0.03,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-19,2024-03-20,22:28:29,1:07:59,60388.9918,160,ATCA,5.5,0.55,0.02,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-19,2024-03-20,22:28:29,1:07:59,60388.9918,160,ATCA,9,0.46,0.02,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-21,2024-03-22,19:22:10,0:08:40,60390.9065,287,ATCA,5.5,1.21,0.03,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-21,2024-03-22,19:22:10,0:08:40,60390.9065,287,ATCA,9,1.29,0.03,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-24,2024-03-24,1:51:41,2:06:37,60393.0827,15,MeerKAT,1.28,2.36,0.03,Fender,X-KAT/ThunderKAT
2024-03-24,2024-03-25,2:10:04,9:07:00,60393.7351,574,e-MERLIN,1.51,0.58,0.04,Williams-Baldwin/Carotenuto,CY16208
2024-03-24,2024-03-24,21:15:20,22:33:40,60393.9128,78,ATCA,5.5,1.246,0.003,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-24,2024-03-24,21:15:20,22:33:40,60393.9128,78,ATCA,9,1.37,0.01,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-27,2024-03-27,0:41:50,0:49:20,60396.0317,8,ATCA,5.5,1.2,0.2,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-27,2024-03-27,0:41:50,0:49:20,60396.0317,8,ATCA,9,1.1,0.1,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-31,2024-03-31,0:44:48,0:59:44,60400.0363,15,MeerKAT,1.28,2.23,0.03,Fender,X-KAT/ThunderKAT
2024-03-31,2024-03-31,13:50:40,20:28:20,60400.7149,398,ATCA,5.5,1.17,0.02,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-03-31,2024-03-31,13:50:40,20:28:20,60400.7149,398,ATCA,9,1.09,0.02,Russell/Carotenuto,C2601/C3057/C3362/CX550
2024-04-06,2024-04-06,12:01:00,12:13:10,60406.5049,12,VLA,6.2,0.76,0.01,Plotkin,23B-064
2024-04-07,2024-04-07,23:11:39,23:26:35,60407.9716,15,MeerKAT,1.28,1.54,0.03,Fender,X-KAT/ThunderKAT
2024-04-13,2024-04-13,0:23:41,0:38:36,60413.0216,15,MeerKAT,1.28,1.37,0.03,Fender,X-KAT/ThunderKAT
2024-04-13,2024-04-13,12:54:05,13:06:15,60413.5418,12,VLA,6.2,0.58,0.01,Plotkin,23B-064
2024-04-20,2024-04-20,7:56:30,8:08:35,60420.3351,12,VLA,6.2,0.44,0.01,Plotkin,23B-064
2024-04-21,2024-04-21,23:30:39,23:45:35,60421.9848,15,MeerKAT,1.28,1.06,0.03,Fender,X-KAT/ThunderKAT
2024-04-29,2024-04-29,0:39:18,0:54:14,60429.0325,15,MeerKAT,1.28,0.89,0.03,Fender,X-KAT/ThunderKAT
2024-05-05,2024-05-05,22:22:19,22:37:15,60435.9373,15,MeerKAT,1.28,0.67,0.03,Fender,X-KAT/ThunderKAT
2024-05-08,2024-05-08,7:00:35,7:12:45,60438.2963,12,VLA,6.2,0.16,0.01,Plotkin,23B-064
2024-05-11,2024-05-11,22:44:08,22:59:03,60441.9525,15,MeerKAT,1.28,0.61,0.03,Fender,X-KAT/ThunderKAT
2024-05-13,2024-05-13,22:16:56,22:31:54,60443.9336,15,MeerKAT,3.06,0.36,0.02,Fender,X-KAT/ThunderKAT
2024-05-14,2024-05-14,9:44:30,10:11:35,60444.4153,27,VLA,6.2,0.14,0.01,Plotkin,23B-064
2024-05-18,2024-05-18,23:19:24,23:34:27,60448.977,15,MeerKAT,1.28,0.66,0.03,Fender,X-KAT/ThunderKAT
2024-05-23,2024-05-23,5:51:15,6:17:26,60453.253,26,VLA,6.2,0.2,0.01,Plotkin,23B-064
2024-05-25,2024-05-25,23:08:34,23:23:29,60455.9695,15,MeerKAT,1.28,0.66,0.03,Fender,X-KAT/ThunderKAT
2024-05-29,2024-05-29,10:54:32,11:34:10,60459.4683,40,VLA,6.2,0.176,0.007,Plotkin,23B-064
2024-06-02,2024-06-02,22:24:52,22:39:48,60463.9391,15,MeerKAT,1.28,0.7,0.03,Fender,X-KAT/ThunderKAT
2024-06-08,2024-06-08,21:39:42,22:09:42,60469.913,30,MeerKAT,1.28,0.66,0.03,Fender,X-KAT/ThunderKAT
2024-06-10,2024-06-10,20:06:13,20:36:08,60471.848,30,MeerKAT,3.06,0.36,0.01,Fender,X-KAT/ThunderKAT
2024-06-15,2024-06-15,20:19:38,20:34:33,60476.8521,15,MeerKAT,1.28,0.65,0.06,Fender,X-KAT/ThunderKAT
2024-06-22,2024-06-22,19:39:20,19:54:16,60483.8242,15,MeerKAT,1.28,0.51,0.03,Fender,X-KAT/ThunderKAT
2024-06-29,2024-06-29,17:59:29,18:14:25,60490.7548,15,MeerKAT,1.28,0.48,0.03,Fender,X-KAT/ThunderKAT
2024-07-01,2024-07-01,18:38:55,18:53:53,60492.7822,15,MeerKAT,3.06,0.26,0.01,Fender,X-KAT/ThunderKAT
2024-07-08,2024-07-08,17:07:17,17:22:13,60499.7186,15,MeerKAT,1.28,0.6,0.03,Fender,X-KAT/ThunderKAT
2024-07-15,2024-07-15,18:26:09,18:41:05,60506.7733,15,MeerKAT,1.28,0.46,0.03,Fender,X-KAT/ThunderKAT
2024-07-21,2024-07-21,17:38:57,17:53:52,60512.7406,15,MeerKAT,1.28,0.51,0.03,Fender,X-KAT/ThunderKAT
2024-07-27,2024-07-27,19:07:23,19:22:18,60518.802,15,MeerKAT,1.28,0.52,0.04,Fender,X-KAT/ThunderKAT
